#      date    value 
 2011-12-24 2.140396 
 2011-12-25 2.170774 
 2011-12-26 2.315499 
 2011-12-27  2.57224 
 2011-12-28 2.693337 
 2011-12-29 2.936644 
 2011-12-30 5.677299 
 2011-12-31 4.302458 
 2012-01-01 3.393818 
 2012-01-02 3.350525 
 2012-01-03 3.298349 
 2012-01-04 3.290215 
 2012-01-05 3.481357 
 2012-01-06 3.673882 
 2012-01-07 3.892624 
 2012-01-08 4.048265 
 2012-01-09 4.005031 
 2012-01-10  3.98366 
 2012-01-11  6.42241 
 2012-01-12 8.735016 
 2012-01-13 4.388247 
 2012-01-14 3.793905 
 2012-01-15 3.753178 
 2012-01-16 3.918493 
 2012-01-17 10.91268 
 2012-01-18 6.859589 
 2012-01-19 4.301391 
 2012-01-20 4.086258 
 2012-01-21 4.106635 
 2012-01-22 4.200424 
 2012-01-23 29.39337 
 2012-01-24 8.192244 
 2012-01-25 4.907695 
 2012-01-26 4.818735 
 2012-01-27 4.992692 
 2012-01-28 5.175158 
 2012-01-29 5.337425 
 2012-01-30 11.72546 
 2012-01-31  40.6964 
 2012-02-01 10.92867 
 2012-02-02 7.064054 
 2012-02-03 7.398035 
 2012-02-04 9.800082 
 2012-02-05 9.209079 
 2012-02-06 8.582618 
 2012-02-07 8.796203 
 2012-02-08 9.009161 
 2012-02-09 9.030028 
 2012-02-10 8.811594 
 2012-02-11 8.684619 
 2012-02-12  8.53253 
 2012-02-13 8.359703 
 2012-02-14 8.305346 
 2012-02-15 12.19206 
 2012-02-16 23.79074 
 2012-02-17 13.09439 
 2012-02-18 11.81495 
 2012-02-19  8.88485 
 2012-02-20  8.60044 
 2012-02-21  9.14535 
 2012-02-22 9.303572 
 2012-02-23 9.642505 
 2012-02-24 9.750894 
 2012-02-25 8.951828 
 2012-02-26   8.5367 
 2012-02-27 8.610827 
 2012-02-28 8.577535 
 2012-02-29 11.70723 
 2012-03-01 9.312318 
 2012-03-02 18.12067 
 2012-03-03 19.59758 
 2012-03-04  8.33822 
 2012-03-05 7.945555 
 2012-03-06 7.934214 
 2012-03-07 8.078782 
 2012-03-08 10.45932 
 2012-03-09 9.167974 
 2012-03-10 7.998564 
 2012-03-11  7.86474 
 2012-03-12 8.887162 
 2012-03-13 7.942427 
 2012-03-14 7.526196 
 2012-03-15  7.35584 
 2012-03-16 7.281225 
 2012-03-17 7.025074 
 2012-03-18 8.045811 
 2012-03-19  6.85132 
 2012-03-20 6.417864 
 2012-03-21 6.309603 
 2012-03-22 6.097491 
 2012-03-23 7.550872 
 2012-03-24 17.80657 
 2012-03-25 6.827269 
 2012-03-26 5.504385 
 2012-03-27 5.310215 
 2012-03-28 5.215821 
 2012-03-29 5.106719 
 2012-03-30 5.692564 
 2012-03-31 6.395353 
 2012-04-01 7.484402 
 2012-04-02 6.577734 
 2012-04-03 4.675687 
 2012-04-04 4.689488 
 2012-04-05 4.607116 
 2012-04-06 4.289095 
 2012-04-07 4.118032 
 2012-04-08 4.227619 
 2012-04-09 3.978971 
 2012-04-10 3.835196 
 2012-04-11 3.737141 
 2012-04-12 3.645466 
 2012-04-13  3.56459 
 2012-04-14 7.810121 
 2012-04-15 7.835472 
 2012-04-16 6.717066 
 2012-04-17 4.607407 
 2012-04-18 3.369234 
 2012-04-19 3.108684 
 2012-04-20 3.044911 
 2012-04-21 3.157113 
 2012-04-22 2.952938 
 2012-04-23  2.83923 
 2012-04-24 2.773659 
 2012-04-25 2.751734 
 2012-04-26 2.933273 
 2012-04-27 2.684798 
 2012-04-28 3.119872 
 2012-04-29 3.814402 
 2012-04-30 3.342799 
 2012-05-01 5.813782 
 2012-05-02 7.435556 
