#      date    value 
 2016-10-14 0.6970978 
 2016-10-15 0.6064022 
 2016-10-16 0.534269 
 2016-10-17 0.5725611 
 2016-10-18 0.7342612 
 2016-10-19 0.6092776 
 2016-10-20 0.6008278 
 2016-10-21 5.997476 
 2016-10-22 3.156527 
 2016-10-23  1.10591 
 2016-10-24 0.6614033 
 2016-10-25 0.5285805 
 2016-10-26 0.4828639 
 2016-10-27 0.4954664 
 2016-10-28 0.8622611 
 2016-10-29 0.705247 
 2016-10-30 0.5596633 
 2016-10-31 0.4935325 
 2016-11-01 0.4661154 
 2016-11-02 0.4598141 
 2016-11-03 0.4605548 
 2016-11-04 0.7767797 
 2016-11-05 0.7196058 
 2016-11-06 0.5594401 
 2016-11-07 0.4833116 
 2016-11-08 0.4514373 
 2016-11-09 0.5567313 
 2016-11-10 0.8685967 
 2016-11-11 0.6566764 
 2016-11-12 0.5193417 
 2016-11-13 0.4605843 
 2016-11-14 0.4352461 
 2016-11-15 0.4240537 
 2016-11-16 0.4189015 
 2016-11-17 0.4171388 
 2016-11-18 0.4152308 
 2016-11-19 0.4832852 
 2016-11-20 2.012865 
 2016-11-21  1.10247 
 2016-11-22 0.6428309 
 2016-11-23 0.4928941 
 2016-11-24 1.051349 
 2016-11-25 1.837082 
 2016-11-26 0.9243128 
 2016-11-27 0.5807483 
 2016-11-28 0.4608072 
 2016-11-29 1.010036 
 2016-11-30 3.755789 
 2016-12-01 1.474005 
 2016-12-02 0.750909 
 2016-12-03 0.5159034 
 2016-12-04 0.4306854 
 2016-12-05 0.4303359 
 2016-12-06 0.5722696 
 2016-12-07 0.5945067 
 2016-12-08 0.6503876 
 2016-12-09 0.5213488 
 2016-12-10 0.4295462 
 2016-12-11 0.3839063 
 2016-12-12 0.3640355 
 2016-12-13 0.355013 
 2016-12-14 0.3504902 
 2016-12-15 0.3478974 
 2016-12-16 0.3458316 
 2016-12-17 0.3437763 
 2016-12-18 0.3711013 
 2016-12-19 0.4429381 
 2016-12-20 0.4054372 
 2016-12-21 0.3703161 
 2016-12-22 0.3539097 
 2016-12-23 0.4062307 
 2016-12-24 0.4500616 
 2016-12-25 1.142118 
 2016-12-26 1.315858 
 2016-12-27 2.091117 
 2016-12-28 1.587679 
 2016-12-29 0.7586073 
 2016-12-30 0.5002659 
 2016-12-31 0.4072345 
 2017-01-01 0.3747039 
 2017-01-02 0.3699947 
 2017-01-03 0.3686773 
 2017-01-04 0.7985495 
 2017-01-05 1.220853 
 2017-01-06 0.7319689 
 2017-01-07 0.4837609 
 2017-01-08 0.3851106 
 2017-01-09 0.3441994 
 2017-01-10 0.3266304 
 2017-01-11 2.358828 
 2017-01-12 6.482455 
 2017-01-13 3.846203 
 2017-01-14 1.361481 
 2017-01-15 0.6611438 
 2017-01-16 0.4507518 
 2017-01-17 0.6001104 
 2017-01-18  5.02952 
 2017-01-19 1.940594 
 2017-01-20  1.00374 
 2017-01-21 2.278049 
 2017-01-22 1.582191 
 2017-01-23 0.8842123 
 2017-01-24 0.6892852 
 2017-01-25 0.5569316 
 2017-01-26 0.4774696 
 2017-01-27 0.4493642 
 2017-01-28 0.4336737 
 2017-01-29 0.4268909 
 2017-01-30 0.424341 
 2017-01-31 0.4256193 
 2017-02-01 0.487659 
 2017-02-02 0.8074116 
 2017-02-03 0.9094477 
 2017-02-04 0.6974069 
 2017-02-05 0.562712 
 2017-02-06 0.5364252 
 2017-02-07 0.6295825 
 2017-02-08 1.108753 
 2017-02-09 1.470744 
 2017-02-10 1.016113 
 2017-02-11 0.7541286 
 2017-02-12 0.8800116 
 2017-02-13 0.8257433 
 2017-02-14 0.7044792 
 2017-02-15 0.6892835 
 2017-02-16 0.6503157 
 2017-02-17 0.6256317 
 2017-02-18 0.6347589 
 2017-02-19 0.6498627 
 2017-02-20 0.657496 
 2017-02-21 0.657001 
 2017-02-22 1.177013 
 2017-02-23 1.790016 
 2017-02-24 1.083282 
 2017-02-25 0.9189203 
 2017-02-26 1.539995 
 2017-02-27 1.004253 
 2017-02-28 0.7647113 
 2017-03-01 1.075932 
 2017-03-02 5.606591 
 2017-03-03 2.951759 
 2017-03-04 1.157664 
 2017-03-05 0.7733158 
 2017-03-06 0.670458 
 2017-03-07 0.6550924 
 2017-03-08 1.834487 
 2017-03-09 1.766972 
 2017-03-10 0.9739221 
 2017-03-11 0.8138931 
 2017-03-12 0.6996919 
 2017-03-13 0.639546 
 2017-03-14 0.6390988 
 2017-03-15 0.6943275 
 2017-03-16 0.6388458 
 2017-03-17 0.6545151 
 2017-03-18 0.9075257 
 2017-03-19 0.890534 
 2017-03-20 0.727574 
 2017-03-21 1.917849 
 2017-03-22 2.059272 
 2017-03-23 1.067935 
 2017-03-24 0.757012 
 2017-03-25 0.6929421 
 2017-03-26 0.6857169 
 2017-03-27 1.798994 
 2017-03-28 1.633029 
 2017-03-29 1.159453 
 2017-03-30 0.8084396 
 2017-03-31 1.027863 
